[prt-host-watchdog] started at 2026-05-07T10:31:16Z
[prt-host-watchdog] runtime_config=/home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_gdbserver_cfg32_nic_notrace.yaml
[prt-host-watchdog] idle_timeout_seconds=600 live_idle_timeout_seconds=3600 poll_seconds=30
[prt-host-watchdog] ssh_connect_timeout_seconds=10 probe_timeout_seconds=20 capture_timeout_seconds=180
[prt-host-watchdog] heartbeat_liveness_enable=1
[prt-host-watchdog] arm_on_guest_status_nonzero=1
[prt-host-watchdog] monitoring instance=i-09daec9aac4b12c2f private_ip=192.168.1.150
[prt-host-watchdog] guest-status arm observed at 2026-05-07T10:38:04Z hb='Target Cycle (fastest), Seconds Since Start' guest_status=1645
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16918 guest_log=0 guest_sparse=256954 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11458
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=345s uart=16918 guest_log=0 guest_sparse=256954 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11458
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=376s uart=16918 guest_log=0 guest_sparse=256954 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11458
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16918 guest_log=0 guest_sparse=266710 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=407s uart=16918 guest_log=0 guest_sparse=266710 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=438s uart=16918 guest_log=0 guest_sparse=266710 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16918 guest_log=0 guest_sparse=266858 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=470s uart=16918 guest_log=0 guest_sparse=266858 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] progress hb='Target Cycle (fastest), Seconds Since Start' uart=16918 guest_log=0 guest_sparse=268481 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=0s hb_idle=501s uart=16918 guest_log=0 guest_sparse=268481 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=31s hb_idle=532s uart=16918 guest_log=0 guest_sparse=268481 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3869 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=270219 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=0s uart=16918 guest_log=0 guest_sparse=270219 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='17643256535, 938' idle=31s hb_idle=31s uart=16918 guest_log=0 guest_sparse=270219 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=270293 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=62s uart=16918 guest_log=0 guest_sparse=270293 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=13528
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=271489 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=93s uart=16918 guest_log=0 guest_sparse=271489 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=32s hb_idle=125s uart=16918 guest_log=0 guest_sparse=271489 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=271564 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=156s uart=16918 guest_log=0 guest_sparse=271564 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=31s hb_idle=187s uart=16918 guest_log=0 guest_sparse=271564 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=273913 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=218s uart=16918 guest_log=0 guest_sparse=273913 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=32s hb_idle=250s uart=16918 guest_log=0 guest_sparse=273913 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=5158 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=283670 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=281s uart=16918 guest_log=0 guest_sparse=283670 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=283745 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=312s uart=16918 guest_log=0 guest_sparse=283745 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] hb='17643256535, 938' idle=32s hb_idle=344s uart=16918 guest_log=0 guest_sparse=283745 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=15599
[prt-host-watchdog] progress hb='17643256535, 938' uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=0s hb_idle=375s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=31s hb_idle=406s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=62s hb_idle=437s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=94s hb_idle=469s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=125s hb_idle=500s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=156s hb_idle=531s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=188s hb_idle=563s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=219s hb_idle=594s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=250s hb_idle=625s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=282s hb_idle=657s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=313s hb_idle=688s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=344s hb_idle=719s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
[prt-host-watchdog] hb='17643256535, 938' idle=375s hb_idle=750s uart=16918 guest_log=0 guest_sparse=285369 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=6447 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=17670
