[prt-host-watchdog] started at 2026-05-08T08:30:41Z
[prt-host-watchdog] runtime_config=/home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_gdbserver_cfg32_nic_notrace.yaml
[prt-host-watchdog] idle_timeout_seconds=600 live_idle_timeout_seconds=3600 poll_seconds=30
[prt-host-watchdog] ssh_connect_timeout_seconds=10 probe_timeout_seconds=20 capture_timeout_seconds=180
[prt-host-watchdog] heartbeat_liveness_enable=1
[prt-host-watchdog] arm_on_guest_status_nonzero=1
[prt-host-watchdog] monitoring instance=i-0ff4f274d766b8903 private_ip=192.168.1.5
[prt-host-watchdog] guest-status arm observed at 2026-05-08T08:38:01Z hb='Target Cycle (fastest), Seconds Since Start' guest_status=1644
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=63s hb_idle=344s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=94s hb_idle=375s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=125s hb_idle=406s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=157s hb_idle=438s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=188s hb_idle=469s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=219s hb_idle=500s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='Target Cycle (fastest), Seconds Since Start' idle=251s hb_idle=532s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] heartbeat-progress hb='18271561856, 965' idle=282s hb_idle=0s uart=16919 guest_log=0 guest_sparse=262493 guest_status=1644
[prt-host-watchdog] hb='18271561856, 965' idle=282s hb_idle=0s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=313s hb_idle=31s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=344s hb_idle=62s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=376s hb_idle=94s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=407s hb_idle=125s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=438s hb_idle=156s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=469s hb_idle=187s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=501s hb_idle=219s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=532s hb_idle=250s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=563s hb_idle=281s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=595s hb_idle=313s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=626s hb_idle=344s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=657s hb_idle=375s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=689s hb_idle=407s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=720s hb_idle=438s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
[prt-host-watchdog] hb='18271561856, 965' idle=751s hb_idle=469s uart=16919 guest_log=0 guest_sparse=262493 guest_checkpoint=0 guest_trigger=0 guest_status=1644 guest_proc=3866 guest_runner=596 guest_runner_post=433 guest_runner_early=487 guest_binary=0 guest_runner_proc=11411
